integer-1,integer-1,varchar-4,decimal-1,date-1,varchar-16,varchar-16,integer-1,varchar-200
1,3691,O,194029.55,1996-01-02,5-LOW          ,Clerk#000000951,0,nstructions sleep furiously among 
2,7801,O,60951.63,1996-12-01,1-URGENT       ,Clerk#000000880,0," foxes. pending accounts at the pending, silent asymptot"
3,12332,F,247296.05,1993-10-14,5-LOW          ,Clerk#000000955,0,sly final accounts boost. carefully regular ideas cajole carefully. depos
4,13678,O,53829.87,1995-10-11,5-LOW          ,Clerk#000000124,0,"sits. slyly regular warthogs cajole. regular, regular theodolites acro"
5,4450,F,139660.54,1994-07-30,5-LOW          ,Clerk#000000925,0,quickly. bold deposits sleep slyly. packages use slyly
6,5563,F,65843.52,1992-02-21,4-NOT SPECIFIED,Clerk#000000058,0,"ggle. special, final requests are against the furiously specia"
7,3914,O,231037.28,1996-01-10,2-HIGH         ,Clerk#000000470,0,ly special requests 
32,13006,O,166802.63,1995-07-16,2-HIGH         ,Clerk#000000616,0,"ise blithely bold, regular requests. quickly unusual dep"
33,6697,F,118518.56,1993-10-27,3-MEDIUM       ,Clerk#000000409,0,uriously. furiously final request
34,6101,O,75662.77,1998-07-21,3-MEDIUM       ,Clerk#000000223,0,ly final packages. fluffily final deposits wake blithely ideas. spe
35,12760,O,192885.43,1995-10-23,4-NOT SPECIFIED,Clerk#000000259,0,zzle. carefully enticing deposits nag furio
36,11527,O,72196.43,1995-11-03,1-URGENT       ,Clerk#000000358,0, quick packages are blithely. slyly silent accounts wake qu
37,8612,F,156440.15,1992-06-03,3-MEDIUM       ,Clerk#000000456,0,kly regular pinto beans. carefully unusual waters cajole never
38,12484,O,64695.26,1996-08-21,4-NOT SPECIFIED,Clerk#000000604,0,haggle blithely. furiously express ideas haggle blithely furiously regular re
39,8177,O,307811.89,1996-09-20,3-MEDIUM       ,Clerk#000000659,0,"ole express, ironic requests: ir"
64,3212,F,30616.90,1994-07-16,3-MEDIUM       ,Clerk#000000661,0,wake fluffily. sometimes ironic pinto beans about the dolphin
65,1627,P,99763.79,1995-03-18,1-URGENT       ,Clerk#000000632,0,ular requests are blithely pending orbits-- even requests against the deposit
66,12920,F,100991.26,1994-01-20,5-LOW          ,Clerk#000000743,0,y pending requests integrate
67,5662,O,167270.36,1996-12-19,4-NOT SPECIFIED,Clerk#000000547,0,symptotes haggle slyly around the furiously iron
68,2855,O,305815.83,1998-04-18,3-MEDIUM       ,Clerk#000000440,0, pinto beans sleep carefully. blithely ironic deposits haggle furiously acro
69,8449,F,228015.94,1994-06-04,4-NOT SPECIFIED,Clerk#000000330,0, depths atop the slyly thin deposits detect among the furiously silent accou
70,6434,F,133507.10,1993-12-18,5-LOW          ,Clerk#000000322,0, carefully ironic request
71,338,O,244449.86,1998-01-24,4-NOT SPECIFIED,Clerk#000000271,0, express deposits along the blithely regul
96,10778,F,72504.36,1994-04-17,2-HIGH         ,Clerk#000000395,0,oost furiously. pinto
97,2107,F,128590.11,1993-01-29,3-MEDIUM       ,Clerk#000000547,0,hang blithely along the regular accounts. furiously even ideas after the
98,10448,F,62956.90,1994-09-25,1-URGENT       ,Clerk#000000448,0,c asymptotes. quickly regular packages should have to nag re
99,8891,F,136624.34,1994-03-13,4-NOT SPECIFIED,Clerk#000000973,0,e carefully ironic packages. pending
100,14701,O,204408.59,1998-02-28,4-NOT SPECIFIED,Clerk#000000577,0,heodolites detect slyly alongside of the ent
101,2800,O,142434.13,1996-03-17,3-MEDIUM       ,Clerk#000000419,0,ding accounts above the slyly final asymptote